id,gender,region,city,age,edu_degree,major,inistitute
163528640,ذكر,لا يوجد,لا يوجد,24.0,البكالوريوس أو ما يعادلها,العلوم الإجتماعية – معلمين,جامعة الإمام محمد بن سعود الإسلامية
165643220,ذكر,لا يوجد,لا يوجد,23.0,البكالوريوس أو ما يعادلها,الفقه وأصوله,جامعة أم القرى 
168963735,ذكر,لا يوجد,لا يوجد,24.0,دبلوم تقني أو ما يعادله,علوم حاسب,أخرى
161057202,ذكر,لا يوجد,لا يوجد,24.0,البكالوريوس أو ما يعادلها,قانون,جامعة الملك سعود
167343241,ذكر,لا يوجد,لا يوجد,24.0,دبلوم تقني أو ما يعادله,السكرتارية والأعمال المكتبية,أخرى
165174099,ذكر,لا يوجد,لا يوجد,23.0,البكالوريوس أو ما يعادلها,لغة عربية,جامعة أم القرى 
162916628,ذكر,لا يوجد,لا يوجد,24.0,البكالوريوس أو ما يعادلها,الرياضيات,جامعة القصيم
165631613,ذكر,لا يوجد,لا يوجد,24.0,البكالوريوس أو ما يعادلها,أحياء,جامعة الباحة
162555686,ذكر,لا يوجد,لا يوجد,23.0,البكالوريوس أو ما يعادلها,قانون,جامعة الحدود الشمالية 
172604557,ذكر,لا يوجد,لا يوجد,24.0,البكالوريوس أو ما يعادلها,تمريض,جامعة الملك سعود
168580881,ذكر,لا يوجد,لا يوجد,24.0,البكالوريوس أو ما يعادلها,هندسة ميكانيكية,جامعة أم القرى 
165863188,ذكر,لا يوجد,لا يوجد,24.0,البكالوريوس أو ما يعادلها,نظم معلومات,أخرى
173116342,ذكر,لا يوجد,لا يوجد,24.0,البكالوريوس أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,جامعة الملك عبد العزيز
165217063,ذكر,لا يوجد,لا يوجد,24.0,البكالوريوس أو ما يعادلها,قانون,جامعة الملك سعود
168280618,ذكر,لا يوجد,لا يوجد,24.0,البكالوريوس أو ما يعادلها,هندسة مدنية,جامعة أم القرى 
172510273,ذكر,لا يوجد,لا يوجد,26.0,البكالوريوس أو ما يعادلها,الشريعة,جامعة الإمام محمد بن سعود الإسلامية
169728123,ذكر,لا يوجد,لا يوجد,24.0,البكالوريوس أو ما يعادلها,لغات وترجمة - انجليزي,جامعة الملك سعود
