id,gender,region,city,age,edu_degree,major,inistitute
163411203,أنثى,لا يوجد,لا يوجد,26.0,البكالوريوس أو ما يعادلها,الإعلام والإتصال,جامعة جازان 
171754023,أنثى,لا يوجد,لا يوجد,22.0,البكالوريوس أو ما يعادلها,قانون,جامعة تبوك 
171924323,أنثى,لا يوجد,لا يوجد,22.0,البكالوريوس أو ما يعادلها,الشريعة,جامعة تبوك 
171641396,أنثى,لا يوجد,لا يوجد,22.0,البكالوريوس أو ما يعادلها,أحياء,جامعة الملك خالد
163586111,أنثى,لا يوجد,لا يوجد,26.0,البكالوريوس أو ما يعادلها,لغات وترجمة - انجليزي,جامعة شقراء
165009000,أنثى,لا يوجد,لا يوجد,23.0,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,أخرى
166083686,أنثى,لا يوجد,لا يوجد,25.0,البكالوريوس أو ما يعادلها,تربية إسلامية,جامعة الأمير سطام بن عبد العزيز
172521910,أنثى,لا يوجد,لا يوجد,22.0,دبلوم تقني أو ما يعادله,الشبكات والإتصالات,جامعة القصيم
162609718,أنثى,لا يوجد,لا يوجد,22.0,البكالوريوس أو ما يعادلها,لغات وترجمة - انجليزي,جامعة الملك خالد
173431004,أنثى,لا يوجد,لا يوجد,22.0,البكالوريوس أو ما يعادلها,الشريعة,جامعة تبوك 
167415790,أنثى,لا يوجد,لا يوجد,22.0,البكالوريوس أو ما يعادلها,محاسبة,جامعة الملك سعود
172560111,أنثى,لا يوجد,لا يوجد,22.0,دبلوم تقني أو ما يعادله,محاسبة,جامعة الملك خالد
168741880,أنثى,لا يوجد,لا يوجد,23.0,البكالوريوس أو ما يعادلها,تقنية المعلومات,جامعة جدة
172202540,أنثى,لا يوجد,لا يوجد,23.0,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,أخرى
170754030,أنثى,لا يوجد,لا يوجد,26.0,البكالوريوس أو ما يعادلها,التاريخ,جامعة حائل 
163221259,أنثى,لا يوجد,لا يوجد,22.0,البكالوريوس أو ما يعادلها,الفقه وأصوله,جامعة الملك خالد
167696996,أنثى,لا يوجد,لا يوجد,21.0,البكالوريوس أو ما يعادلها,أحياء,جامعة الملك خالد
161807777,أنثى,لا يوجد,لا يوجد,24.0,الماجستير أو ما يعادلها,المناهج وطرق التدريس,جامعة حائل 
163172611,أنثى,لا يوجد,لا يوجد,24.0,البكالوريوس أو ما يعادلها,علم الاجتماع,جامعة الملك عبد العزيز
166389981,أنثى,لا يوجد,لا يوجد,22.0,دبلوم تقني أو ما يعادله,طب بشري,أخرى
163500590,أنثى,لا يوجد,لا يوجد,22.0,البكالوريوس أو ما يعادلها,لغة عربية,جامعة الملك خالد
169760150,أنثى,لا يوجد,لا يوجد,22.0,دبلوم تقني أو ما يعادله,علوم حاسب,جامعة الملك خالد
166671116,أنثى,لا يوجد,لا يوجد,21.0,دبلوم تقني أو ما يعادله,الإحصاء ,جامعة شقراء
172963906,أنثى,لا يوجد,لا يوجد,21.0,دبلوم تقني أو ما يعادله,تسويق,جامعة الأميره نوره بنت عبد الرحمن
169173383,أنثى,لا يوجد,لا يوجد,23.0,الماجستير أو ما يعادلها,لغة عربية,جامعة الملك خالد
168503175,أنثى,لا يوجد,لا يوجد,23.0,البكالوريوس أو ما يعادلها,رياض الأطفال,جامعة المجمعة 
163522748,أنثى,لا يوجد,لا يوجد,21.0,دبلوم تقني أو ما يعادله,التجميل والأناقة وتصفيف الشعر,أخرى
166943605,أنثى,لا يوجد,لا يوجد,23.0,البكالوريوس أو ما يعادلها,إدارة أعمال,جامعة تبوك 
163911004,أنثى,لا يوجد,لا يوجد,21.0,دبلوم تقني أو ما يعادله,موارد بشرية,أخرى
172679345,أنثى,لا يوجد,لا يوجد,21.0,دبلوم تقني أو ما يعادله,إدارة أعمال,جامعة الملك خالد
161806056,أنثى,لا يوجد,لا يوجد,23.0,البكالوريوس أو ما يعادلها,لغات وترجمة - انجليزي,جامعة جدة
161998338,أنثى,لا يوجد,لا يوجد,24.0,البكالوريوس أو ما يعادلها,علم الاجتماع,جامعة الملك عبد العزيز
164714029,أنثى,لا يوجد,لا يوجد,24.0,البكالوريوس أو ما يعادلها,تقنية المعلومات,جامعة جدة
171107474,أنثى,لا يوجد,لا يوجد,22.0,البكالوريوس أو ما يعادلها,رياض الأطفال,جامعة الملك خالد
