id,gender,region,city,age,edu_degree,major,inistitute
166518065,ذكر,لا يوجد,لا يوجد,28,البكالوريوس أو ما يعادلها,طب بيطري,جامعة الملك فيصل 
160929605,ذكر,لا يوجد,لا يوجد,29,البكالوريوس أو ما يعادلها,علم النفس,جامعة الإمام محمد بن سعود الإسلامية
160757327,ذكر,لا يوجد,لا يوجد,30,البكالوريوس أو ما يعادلها,هندسة ميكانيكية,جامعة الامير محمد بن فهد
164711090,ذكر,لا يوجد,لا يوجد,29,البكالوريوس أو ما يعادلها,إدارة أعمال,جامعة الملك فيصل 
172841425,ذكر,لا يوجد,لا يوجد,30,البكالوريوس أو ما يعادلها,علم الاجتماع,جامعة الملك عبد العزيز
168473194,ذكر,لا يوجد,لا يوجد,29,البكالوريوس أو ما يعادلها,صحة المجتمع,جامعة الملك فيصل 
164092498,ذكر,لا يوجد,لا يوجد,30,البكالوريوس أو ما يعادلها,هندسة كهربائية,جامعة الامير محمد بن فهد
166994128,ذكر,لا يوجد,لا يوجد,30,البكالوريوس أو ما يعادلها,محاسبة,جامعة الإمام محمد بن سعود الإسلامية
163939525,ذكر,لا يوجد,لا يوجد,29,البكالوريوس أو ما يعادلها,تقنية المعلومات,جامعة تبوك 
171177020,ذكر,لا يوجد,لا يوجد,29,البكالوريوس أو ما يعادلها,إدارة أعمال,جامعة تبوك 
171167087,ذكر,لا يوجد,لا يوجد,29,البكالوريوس أو ما يعادلها,الإعلام والإتصال,جامعة الملك سعود
173189019,ذكر,لا يوجد,لا يوجد,30,الماجستير أو ما يعادلها,عمارة وتخطيط,جامعة الملك سعود
161879696,ذكر,لا يوجد,لا يوجد,30,البكالوريوس أو ما يعادلها,مالية,جامعة الملك عبد العزيز
166140884,ذكر,لا يوجد,لا يوجد,29,الماجستير أو ما يعادلها,هندسة كهربائية,جامعة الملك فهد للبترول و المعادن
164708082,ذكر,لا يوجد,لا يوجد,28,دبلوم تقني أو ما يعادله,نظم معلومات,جامعة طيبة
172857959,ذكر,لا يوجد,لا يوجد,28,البكالوريوس أو ما يعادلها,صيدلة,جامعة القصيم
